ibelick/ui-skills-root	https://raw.githubusercontent.com/ibelick/ui-skills/main/skills/ui-skills-root/SKILL.md	Use when the user needs UI help and you must route by topic, stack, and intent to the smallest useful set of UI skills.
ibelick/baseline-ui	https://raw.githubusercontent.com/ibelick/ui-skills/main/skills/baseline-ui/SKILL.md	Quickly deslop UI code by fixing spacing, hierarchy, typography, and small layout issues. Use when the interface needs a fast cleanup or polish pass.
ibelick/fixing-accessibility	https://raw.githubusercontent.com/ibelick/ui-skills/main/skills/fixing-accessibility/SKILL.md	Audit and fix HTML accessibility issues including ARIA labels, keyboard navigation, focus management, color contrast, and form errors. Use when adding interactive controls, forms, dialogs, or reviewing WCAG compliance.
ibelick/fixing-metadata	https://raw.githubusercontent.com/ibelick/ui-skills/main/skills/fixing-metadata/SKILL.md	Audit and fix page metadata including titles, meta descriptions, Open Graph, Twitter cards, canonical URLs, and JSON-LD structured data. Use when shipping new pages or fixing SEO and social preview issues.
ibelick/fixing-motion-performance	https://raw.githubusercontent.com/ibelick/ui-skills/main/skills/fixing-motion-performance/SKILL.md	Audit and fix animation performance issues including layout thrashing, compositor properties, scroll-linked motion, and blur effects. Use when animations stutter, transitions jank, or reviewing CSS/JS animation performance.
anthropics/frontend-design	https://raw.githubusercontent.com/anthropics/skills/main/skills/frontend-design/SKILL.md	Create distinctive, production-grade frontend interfaces with high design quality. Generates creative, polished code and UI design that avoids generic AI aesthetics.
remotion-dev/remotion-best-practices	https://raw.githubusercontent.com/remotion-dev/skills/main/skills/remotion/SKILL.md	Domain-specific knowledge base for building videos with Remotion and React.
vuejs-ai/create-adaptable-composable	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/create-adaptable-composable/SKILL.md	Create library-grade Vue composables that support plain values, refs, and getters with predictable reactivity.
vuejs-ai/vue-best-practices	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/vue-best-practices/SKILL.md	Core Vue development best practices for component architecture, reactivity, and maintainable code.
vuejs-ai/vue-debug-guides	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/vue-debug-guides/SKILL.md	Practical debugging workflows for diagnosing and fixing Vue reactivity, rendering, and state issues.
vuejs-ai/vue-jsx-best-practices	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/vue-jsx-best-practices/SKILL.md	Guidance for writing robust, type-safe, and readable Vue components using JSX.
vuejs-ai/vue-options-api-best-practices	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/vue-options-api-best-practices/SKILL.md	Best practices for structuring and scaling Vue applications built with the Options API.
vuejs-ai/vue-pinia-best-practices	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/vue-pinia-best-practices/SKILL.md	Patterns for clean, scalable state management in Vue apps using Pinia stores.
vuejs-ai/vue-router-best-practices	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/vue-router-best-practices/SKILL.md	Routing architecture and navigation patterns for maintainable Vue Router applications.
vuejs-ai/vue-testing-best-practices	https://raw.githubusercontent.com/vuejs-ai/skills/main/skills/vue-testing-best-practices/SKILL.md	Testing strategies for Vue applications, including component tests, integration tests, and reliability patterns.
vercel-labs/web-design-guidelines	https://raw.githubusercontent.com/vercel-labs/agent-skills/main/skills/web-design-guidelines/SKILL.md	Review UI code for Web Interface Guidelines compliance. Audit design, accessibility, and UX against Vercel's best practices.
vercel-labs/next-best-practices	https://raw.githubusercontent.com/vercel-labs/next-skills/main/skills/next-best-practices/SKILL.md	Next.js best practices: file conventions, RSC boundaries, data patterns, async APIs, metadata, error handling, and optimization.
vercel-labs/next-cache-components	https://raw.githubusercontent.com/vercel-labs/next-skills/main/skills/next-cache-components/SKILL.md	Next.js 16 Cache Components guidance covering PPR, use cache directive, cacheLife, cacheTag, and updateTag.
vercel-labs/next-upgrade	https://raw.githubusercontent.com/vercel-labs/next-skills/main/skills/next-upgrade/SKILL.md	Upgrade Next.js to the latest version using official migration guides and codemods.
vercel-labs/agent-browser	https://raw.githubusercontent.com/vercel-labs/agent-browser/main/skills/agent-browser/SKILL.md	Browser automation CLI for AI agents for navigation, form actions, extraction, screenshots, QA, and app testing.
addyosmani/frontend-ui-engineering	https://raw.githubusercontent.com/addyosmani/agent-skills/main/skills/frontend-ui-engineering/SKILL.md	Frontend UI engineering guidance covering component architecture, responsive design, accessibility, and maintainable implementation patterns.
vercel-labs/react-best-practices	https://raw.githubusercontent.com/vercel-labs/agent-skills/main/skills/react-best-practices/SKILL.md	Vercel React best practices for rendering performance, bundle efficiency, and scalable component architecture.
remix-run/react-router-framework-mode	https://raw.githubusercontent.com/remix-run/agent-skills/main/skills/react-router-framework-mode/SKILL.md	React Router framework-mode patterns for loaders, actions, middleware, route modules, and full-stack rendering flows.
sveltejs/svelte-code-writer	https://raw.githubusercontent.com/sveltejs/ai-tools/main/plugins/claude/svelte/skills/svelte-code-writer/SKILL.md	Official Svelte code-writing skill focused on modern Svelte patterns, component composition, and production-ready implementations.
microsoft/playwright-cli	https://raw.githubusercontent.com/microsoft/playwright-cli/main/skills/playwright-cli/SKILL.md	Official Playwright CLI skill for browser automation, test generation, tracing, and session-driven end-to-end testing workflows.
addyosmani/web-quality-audit	https://raw.githubusercontent.com/addyosmani/web-quality-skills/main/skills/web-quality-audit/SKILL.md	Web quality auditing skill for Lighthouse-style analysis across performance, accessibility, best practices, and SEO signals.
zeke/swiss-design	https://raw.githubusercontent.com/zeke/swiss-design-skill/main/swiss-design/SKILL.md	Swiss design system skill focused on grid discipline, typography hierarchy, and clean editorial interface composition.
callstackincubator/react-native-best-practices	https://raw.githubusercontent.com/callstackincubator/agent-skills/main/skills/react-native-best-practices/SKILL.md	React Native performance optimization guidelines for FPS, TTI, bundle size, memory leaks, re-renders, and animations.
cloudai-x/threejs-animation	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-animation/SKILL.md	Three.js animation guidance for keyframes, skeletal animation, morph targets, and animation blending.
cloudai-x/threejs-fundamentals	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-fundamentals/SKILL.md	Three.js scene setup guidance for cameras, renderer configuration, object hierarchy, and transforms.
cloudai-x/threejs-geometry	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-geometry/SKILL.md	Three.js geometry patterns for built-in shapes, BufferGeometry, custom meshes, and instancing.
cloudai-x/threejs-interaction	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-interaction/SKILL.md	Three.js interaction patterns for raycasting, controls, pointer input, and object selection.
cloudai-x/threejs-lighting	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-lighting/SKILL.md	Three.js lighting guidance for light types, shadows, environment lighting, and performance tuning.
cloudai-x/threejs-loaders	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-loaders/SKILL.md	Three.js asset loading patterns for GLTF, textures, HDR assets, async loading, and progress handling.
cloudai-x/threejs-materials	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-materials/SKILL.md	Three.js material guidance for PBR, classic materials, shader materials, and material optimization.
cloudai-x/threejs-postprocessing	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-postprocessing/SKILL.md	Three.js post-processing techniques with EffectComposer, bloom, depth of field, and screen-space effects.
cloudai-x/threejs-shaders	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-shaders/SKILL.md	Three.js shader guidance for GLSL, ShaderMaterial, uniforms, and custom vertex and fragment effects.
cloudai-x/threejs-textures	https://raw.githubusercontent.com/CloudAI-X/threejs-skills/main/skills/threejs-textures/SKILL.md	Three.js texture workflows for maps, UV mapping, environment maps, and texture configuration.
